rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
6333,8510197,K05530.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,591.373820000,1.0920000e-02,-1.0920000e-02,333.4807600,8.750000e-03,-8.750000e-03,0.1609,0.2834,-0.1603,4.35000,1.40000,-1.40000,2.4500e+02,3.910e+01,-3.910e+01,2.20,9.800e-01,-4.700e-01,289.0,,,1.65,2.14,-0.76,10.70,1,q1_q16_tce,6609.00,163.00,-211.00,4.183,0.182,-0.248,1.3910,0.6150,-0.2990,296.946930,44.553761,12.913
801,8547140,K01266.01,Kepler-801 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,11.419261410,2.3220000e-05,-2.3220000e-05,137.6689400,1.660000e-03,-1.660000e-03,0.2420,0.1820,-0.2420,3.99080,0.05450,-0.05450,9.1560e+02,1.810e+01,-1.810e+01,1.48,1.600e-01,-2.300e-01,419.0,,,7.32,3.38,-2.98,58.00,1,q1_q17_dr25_tce,3823.00,167.00,-184.00,4.765,0.077,-0.056,0.4920,0.0540,-0.0740,286.075230,44.664639,15.314
6363,8548403,K05540.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,643.452800000,1.5350000e-02,-1.5350000e-02,204.0423000,2.240000e-02,-2.240000e-02,0.1952,0.2492,-0.1952,9.34600,0.75300,-0.75300,5.8510e+02,6.170e+01,-6.170e+01,2.03,6.700e-01,-1.600e-01,192.0,,,0.32,0.31,-0.07,10.20,1,q1_q16_tce,5649.00,155.00,-147.00,4.553,0.029,-0.236,0.8450,0.2800,-0.0650,286.780640,44.615559,14.984
7777,8560280,K07896.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,85.338393000,1.5470000e-03,-1.5470000e-03,215.5640000,1.100000e-02,-1.100000e-02,0.0040,0.7140,-0.0040,8.50000,1.20000,-1.20000,6.3300e+02,3.950e+01,-3.950e+01,11.40,1.310e+00,-8.000e-01,741.0,,,71.36,21.94,-12.60,27.90,1,q1_q17_dr25_tce,4850.00,63.00,-58.00,3.134,0.030,-0.030,4.6960,0.5370,-0.3310,291.900420,44.686241,12.881
4046,8572168,K04263.01,,FALSE POSITIVE,FALSE POSITIVE,0.0020,0,0,1,0,1.662710314,6.4400000e-06,-6.4400000e-06,132.4446900,3.220000e-03,-3.220000e-03,0.5770,0.3760,-0.3560,1.83000,0.10900,-0.10900,8.5900e+01,4.200e+00,-4.200e+00,2.16,4.700e-01,-1.090e+00,2307.0,,,6700.60,4533.65,-5273.14,23.80,1,q1_q17_dr25_tce,6028.00,192.00,-213.00,3.842,0.496,-0.124,2.2440,0.4850,-1.1310,296.205780,44.660446,13.970
2707,8581240,K03111.02,,CANDIDATE,CANDIDATE,0.9860,0,0,0,0,4.328483030,4.0920000e-05,-4.0920000e-05,132.5128000,7.470000e-03,-7.470000e-03,0.3670,0.0840,-0.3670,2.95500,0.25500,-0.25500,3.5500e+01,3.600e+00,-3.600e+00,0.66,1.000e-01,-9.000e-02,1199.0,,,488.23,200.04,-148.35,11.40,2,q1_q17_dr25_tce,5874.00,105.00,-117.00,4.338,0.126,-0.115,1.0960,0.1600,-0.1440,298.576870,44.621609,12.863
9355,8581240,K03111.01,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,10.768000740,8.2530000e-05,-8.2530000e-05,138.5066900,5.790000e-03,-5.790000e-03,0.5830,0.3560,-0.3930,3.49400,0.17500,-0.17500,6.5100e+01,5.000e+00,-5.000e+00,0.92,1.300e-01,-1.200e-01,885.0,,,144.85,59.35,-44.02,14.20,1,q1_q17_dr25_tce,5874.00,105.00,-117.00,4.338,0.126,-0.115,1.0960,0.1600,-0.1440,298.576870,44.621609,12.863
6395,8613769,K05550.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,540.392670000,2.2410000e-02,-2.2410000e-02,196.0854000,2.240000e-02,-2.240000e-02,0.3683,0.1061,-0.3682,9.23300,0.75100,-0.75100,1.7800e+03,1.620e+02,-1.620e+02,3.63,1.210e+00,-2.900e-01,206.0,,,0.42,0.42,-0.10,15.10,1,q1_q16_tce,5693.00,164.00,-156.00,4.551,0.028,-0.243,0.8560,0.2860,-0.0670,287.089690,44.792000,15.959
7703,8621026,K07071.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,4.059428737,1.1500000e-07,-1.1500000e-07,133.1885651,2.310000e-05,-2.310000e-05,0.2160,0.0130,-0.0040,5.26926,0.00278,-0.00278,2.4522e+05,4.550e+01,-4.550e+01,67.38,2.128e+01,-1.145e+01,1455.0,,,1059.83,990.46,-436.31,5461.00,1,q1_q17_dr25_tce,6610.00,186.00,-256.00,4.281,0.108,-0.201,1.3300,0.4200,-0.2260,290.428380,44.787331,13.374
4689,8625813,K03285.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,45.396537900,4.8010000e-04,-4.8010000e-04,136.9486000,1.030000e-02,-1.030000e-02,0.0850,0.3890,-0.0850,3.82600,0.28500,-0.28500,1.0016e+03,7.630e+01,-7.630e+01,1.97,1.200e-01,-1.900e-01,326.0,,,2.66,0.80,-0.79,15.30,1,q1_q17_dr25_tce,4266.00,149.00,-164.00,4.626,0.049,-0.021,0.6430,0.0410,-0.0610,292.174960,44.783989,15.984
